Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	665.174492656226	2.86494731022381	0.342899822749153	8.35505625886443	6.54015348962813e-17	2.26033391691539e-14
AT1G01020	473.002808148791	-0.192718864921811	0.152671759439414	-1.26230853452822	0.206837786875554	0.333409537895183
AT1G01030	127.774801514516	0.0218625897777395	0.260401503243091	0.0839572333702325	0.933090434491254	0.958781781769775
AT1G01040	1093.35067415693	-0.598974042308106	0.339260425410615	-1.76552877213177	0.0774749390307514	0.15730103719769
AT1G01046	0.330378715081668	-1.84228869615764	4.0365390473521	-0.456403040958108	0.648100179407026	NA
AT1G01050	2812.32117478511	-0.193726847739058	0.114630272373041	-1.69001472061946	0.0910251384235403	0.178916055925815
AT1G01060	8779.35394942086	-1.82303425555084	0.193594048347487	-9.4167887448618	4.65094697888983e-21	5.04141511843571e-18
AT1G01070	272.989265153725	-0.348697921596095	0.26938180281894	-1.29443755274912	0.195514326408925	0.31956650239714
AT1G01080	2919.09586563958	-0.742504860799554	0.229817212747085	-3.23084964752698	0.00123422844800069	0.00588535208947659
AT1G01090	6864.8947143591	-0.504258790122857	0.206287950413169	-2.44444132152599	0.0145076678471149	0.0419655937833755
AT1G01100	8593.83485422565	-0.0512443259885515	0.150225296027882	-0.341116491985748	0.733015886222514	0.819206572253645
AT1G01110	110.425246773552	-0.948755872617024	0.435705900049522	-2.1775144025114	0.0294422083980978	0.0733425617538324
AT1G01120	4366.401694102	-0.340353512364616	0.196843630088402	-1.72905525168258	0.0837992069081271	0.167703901236833
AT1G01130	152.255773114384	-0.372496696974488	0.23799818924421	-1.56512407996629	0.117553818413351	0.217159029181438
AT1G01140	2981.68748487337	0.165688697658966	0.217009327867407	0.763509565635824	0.445159559769949	0.579587247315679
AT1G01150	5.84230938731068	-0.267432014745785	1.01501142002905	-0.263476853036916	0.792183062051505	0.86328151902126
AT1G01160	1152.47066513519	0.250063591239834	0.122874828737689	2.0351083603434	0.0418399709606064	0.0969262253580008
AT1G01170	3248.46990455599	-0.189447640129318	0.218214617936096	-0.868171169837933	0.38530063447694	0.523219875313
AT1G01180	590.131323080653	0.545782002740416	0.251507451301252	2.17004307393933	0.0300035830027621	0.0744532199653349
AT1G01183	1.74774276638711	-0.275947204536348	1.59589477828525	-0.172910650683905	0.862721659721924	0.912747267940937
AT1G01190	134.07485511737	-1.88945572986597	0.243977544401625	-7.74438374851263	9.60465245138082e-15	2.06344276583854e-12
AT1G01200	60.0645542780412	-0.729920615425242	0.479522070667109	-1.52218356583625	0.127963091779892	0.231862005142094
AT1G01210	751.24817345791	0.146424929675761	0.143946036761686	1.01722098759953	0.309048314057746	0.445893406844927
AT1G01220	837.849019102156	-0.670934657013989	0.178892177837698	-3.75049745116695	0.000176484099142277	0.00122700184030492
AT1G01225	77.2304329939514	-0.267765854142376	0.304569337257115	-0.879162218212168	0.379313326646454	0.517003023578989
AT1G01230	748.717184998193	0.428205170493866	0.176384900810559	2.42767475291872	0.0151959640563376	0.0435864992604622
AT1G01240	584.891274603361	0.918128141474923	0.260837272160713	3.51992694092134	0.00043166568409868	0.00254171149844474
AT1G01250	171.138671266542	0.657366821563777	0.362189584137684	1.81497991757235	0.0695269957449629	0.144501504926802
AT1G01260	559.246603224799	-0.115935008283091	0.185296555329764	-0.625672765890154	0.531529599936842	0.657737685188701
AT1G01270	0.178728227228597	0.991698280132785	4.0804728567969	0.243035137087335	0.807978177857623	NA
AT1G01280	44.2578185614159	-1.33244685500845	0.962489659269787	-1.38437524203568	0.166243585754365	0.282566699179212
AT1G01290	469.222110531921	0.239076943492812	0.153522713603123	1.55727408591056	0.119405425253105	0.219796308453168
AT1G01300	2223.40154664361	-0.200431053281487	0.242129392484026	-0.827784893131922	0.407792331604113	0.545530333881032
AT1G01305	0.883730107466996	3.30677641634695	3.3527400854323	0.986290715082547	0.323990474707867	0.461155595700042
AT1G01310	12.8602450528531	5.2603511446462	1.32152639682966	3.98051159421846	6.87671104553284e-05	0.000567435738072047
AT1G01320	16130.494191135	-1.60876650113498	0.310481352906587	-5.18152374071561	2.20080570551342e-07	4.99358835959833e-06
AT1G01340	298.557670138848	0.974247800633646	0.24659832437318	3.9507478532551	7.79073698517632e-05	0.000624070221315081
AT1G01350	526.801012425571	-0.690869599445544	0.166503916570241	-4.14926936060446	3.33538152404871e-05	0.000314010435072995
AT1G01355	7.44022898360645	1.65610300010631	0.881631722951493	1.87845214389753	0.0603193379383906	0.129193035011389
AT1G01360	530.551081332562	-0.0820453963051071	0.184263967645697	-0.44526011978025	0.656131784481832	0.760473720632838
AT1G01370	111.650832387448	-0.569618008830519	0.28530887979477	-1.99649590030376	0.0458799715587824	0.104428718312712
AT1G01380	38.4095387961126	-0.286967336368434	0.416227282180448	-0.689448646578686	0.490540979232299	0.621728615705569
