Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	4.34287601486357	1.70547338571891	1.19087437591111	1.43211863502738	0.152109872178424	NA
AT1G01020	12.4774700272325	0.48464730576073	0.668307171407848	0.725186450924621	0.468337653813153	0.802751842922523
AT1G01040	9.91499208172003	-0.862709767848805	0.749098192217973	-1.15166446376602	0.249458980371274	NA
AT1G01050	72.2533422353745	0.862324081094734	0.294865164068301	2.92446916820255	0.00345044259034295	0.0340189726033541
AT1G01060	2.90802713729836	0.472377312867198	1.45997368123604	0.323551937228946	0.746277280580177	NA
AT1G01070	0.863001819144725	3.07407843970205	2.7377445489654	1.12285072062832	0.261500899753635	NA
AT1G01080	46.411145254413	-1.27967611456845	0.342216147192758	-3.73937970217301	0.000184474903075055	0.00290449847394768
AT1G01090	102.185934804431	-1.05686015006703	0.239239334792356	-4.41758522269893	9.98097213953999e-06	0.000212128232939571
AT1G01100	435.273970526132	-0.403014737011128	0.142570535013099	-2.82677438907065	0.0047019442022596	0.0434929838709013
AT1G01110	1.61002977901101	-0.397367615592985	1.72811038048941	-0.229943422642047	0.818135733843705	NA
AT1G01120	33.2787621192598	0.212567312320281	0.405365119344211	0.524384813040074	0.600010917362135	0.873948332425206
AT1G01130	1.51676526563698	-3.11448709982647	2.02000817717339	-1.54181905549739	0.123117570144522	NA
AT1G01140	38.0440410830671	-0.441672721589417	0.374784413343478	-1.17847142480986	0.23860871775361	0.604505123720631
AT1G01150	0.413825486377429	2.02753722030815	3.82049320846174	0.53070038596522	0.595626418533971	NA
AT1G01160	17.5489985289969	0.278839207242892	0.53886443581269	0.517457061018251	0.604837135930569	0.875619423653029
AT1G01170	141.537447425787	0.193095643741932	0.208256380328564	0.927201574507761	0.353821885502841	0.718418847745467
AT1G01180	6.50467207105339	0.552643255630904	0.892482796088782	0.619220065700772	0.53577139477933	NA
AT1G01190	1.84121559335957	-0.0344593967635959	1.69131381152528	-0.0203743365239353	0.983744756087503	NA
AT1G01200	0.769178568036955	1.11583079219929	2.71419097472412	0.411109904421043	0.680991947758146	NA
AT1G01210	12.286555216036	0.542694785682484	0.674074572168545	0.805096065167681	0.420764246277877	NA
AT1G01220	12.7094202986561	0.32243398782884	0.675384984748202	0.477407693552811	0.633071836788203	0.886104914757853
AT1G01225	5.19582053102252	-1.1516664052271	1.03285043201112	-1.11503695940237	0.264834583987401	NA
AT1G01230	24.1711936370467	0.355399805331219	0.458807106066534	0.774617046318547	0.438565981542135	0.785462505996255
AT1G01240	8.01034501392287	-0.489545233338749	0.780131120375378	-0.62751660657146	0.530320654023566	NA
AT1G01250	3.23405173270957	-2.6200211216953	1.38852563349058	-1.88690871706048	0.0591726044501761	NA
AT1G01260	3.52899856559913	0.553397883580862	1.19823516182832	0.461844136451867	0.644193097198902	NA
AT1G01280	0.17951716380738	-1.27091593752719	4.5601232666783	-0.278702101501075	0.780473449628306	NA
AT1G01290	6.94098918932318	-1.22856793715667	0.862185923553267	-1.4249454828646	0.154172960709666	NA
AT1G01300	42.0776485462502	-0.650129606655278	0.368034101198829	-1.7664928454661	0.0773132008263761	0.330530175801839
AT1G01305	0.173698907325497	1.12328875238399	4.56207316163209	0.246223309575801	0.805509372467964	NA
AT1G01320	93.9050910143966	-0.28496040109134	0.250988100187255	-1.13535422945845	0.256226928962673	0.625018640022823
AT1G01340	2.00419630181849	1.49773869719906	1.92126616590538	0.779558149608732	0.435650997570278	NA
AT1G01350	11.4205175620943	0.390103783312955	0.684465446234102	0.569939338003531	0.568718842719735	NA
AT1G01360	10.4204706624453	-0.438968188792558	0.732975461302554	-0.598885245097397	0.549249411375714	NA
AT1G01370	6.33914708193357	-0.369227307248633	0.886124521900304	-0.416676548411979	0.676915010097528	NA
AT1G01380	1.40311703582229	-0.803841594671272	1.91713099003714	-0.419294038252285	0.675001253067629	NA
AT1G01390	1.96480463310994	0.787947756768118	1.61927424156752	0.486605502972341	0.626537923056696	NA
AT1G01420	1.12338013686467	1.78307110614114	2.40123051049622	0.742565571421407	0.45774473909556	NA
AT1G01430	24.7048832746068	0.0731303438878449	0.457124941938062	0.159978896749313	0.872897698050742	0.965245054002055
AT1G01440	3.71745649410988	0.327888626298112	1.16038208334095	0.282569535505116	0.7775068360855	NA
AT1G01448	5.1574831592881	0.486307097660311	0.987421322022206	0.492502123272333	0.622364421296292	NA
AT1G01450	0.188457928510751	-1.30629425015084	4.55739265608991	-0.286631929422468	0.774394163648729	NA
AT1G01470	65.5308618171735	-0.133553333641184	0.288115594205047	-0.463540802120333	0.642976775448292	0.888983288609489
AT1G01490	31.2128098316544	0.0284750699193846	0.408048298557183	0.0697835771404257	0.94436591885141	0.986162742713338
AT1G01500	14.2024891717084	-0.205787649545525	0.67259848181496	-0.305959134772683	0.759635760354109	0.931720907624323
AT1G01510	10.8938754865749	0.482584840573383	0.696588278661906	0.692783463856718	0.488445451142551	NA
AT1G01530	0.206912743188715	1.12328875238399	4.56207316163209	0.246223309575801	0.805509372467964	NA
AT1G01540	24.9814570239535	0.626167379688509	0.476564301264935	1.31392002721665	0.188873118308966	0.544993684166955
