Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	211.740070359063	0.949922331487998	0.268559114102904	3.5371070338131	0.000404535687595649	0.00254033186709211
AT1G01020	386.562231114197	-0.294258986976434	0.111078989597173	-2.64909671976277	0.00807072304797003	0.0305017028758021
AT1G01030	39.5550710243525	0.0694246554246105	0.28924583274305	0.240019552801245	0.810315098658705	0.893622821545697
AT1G01040	2006.72168411642	-0.251641374832657	0.107309189945441	-2.34501234200537	0.0190264497719102	0.0604479208585385
AT1G01050	1010.28644736306	-0.100047110743595	0.0735304991655828	-1.36062058436866	0.173633623093569	0.326931766095721
AT1G01060	193.664201913654	-1.77053002103867	0.334194888843167	-5.29789676666644	1.17144160226431e-07	1.9409215127664e-06
AT1G01070	67.3692936919822	0.0126758480934353	0.422331897052036	0.0300139491757913	0.976055928349401	0.988070915858812
AT1G01080	1983.54648550027	-0.385301890958263	0.20501122567261	-1.87941850351924	0.0601873717403149	0.149086255887022
AT1G01090	3599.9882360591	-0.550339023609149	0.146145384883423	-3.7656955370034	0.00016608608248396	0.00118751270961163
AT1G01100	1936.57546208605	0.191161305632096	0.191554310712017	0.997948336017808	0.318304411636124	0.498913304176278
AT1G01110	45.9156241178651	-0.367591339286985	0.247914275779514	-1.48273566792865	0.138144654167007	0.276639041635703
AT1G01120	485.445814215674	-0.260890187989225	0.342363343356212	-0.762027223568097	0.446043756330353	0.623330852208119
AT1G01130	25.6355775563162	0.0621717348173139	0.448958562117979	0.138479895614456	0.889861157501562	0.941056808081688
AT1G01140	3425.75723280541	-0.455728198859997	0.182157361890051	-2.50183793908407	0.0123550465915104	0.0428136371248124
AT1G01150	0.366449021541568	0.560033726889699	3.53300612730413	0.158514790722153	0.87405116669776	NA
AT1G01160	622.769054165623	0.0246713696078791	0.107141417738707	0.230269209877798	0.81788258472882	0.898079601955257
AT1G01170	1337.58184756437	-0.369410757955716	0.108605180880175	-3.40141008892836	0.000670391772276418	0.00389699430607171
AT1G01180	304.167262186718	-0.141367377136029	0.130144882509811	-1.08623077918851	0.277376903071314	0.454337452764753
AT1G01183	0.884103621026467	-1.46486456522332	2.01445633313127	-0.727176132404086	0.467118065320719	NA
AT1G01190	50.2653969144119	-1.16316428563479	0.467308261175455	-2.48907280754891	0.0128076734216761	0.0440189059006656
AT1G01200	10.0026417174928	-1.1948525394633	0.557006042633399	-2.14513389085386	0.0319421434178198	0.0909705770068511
AT1G01210	210.523250134584	0.119014860594718	0.178514267374974	0.666696630722092	0.504965931369571	0.676359824161802
AT1G01220	451.405147252302	0.0562448049355522	0.186230892268173	0.302016514287864	0.762639473866666	0.863839365864247
AT1G01225	25.2861776839254	-0.165497953637152	0.38347621691066	-0.431572927704428	0.666051838119937	0.797429852655636
AT1G01230	504.557874744595	0.0439715098618671	0.0862533036378728	0.509795080388778	0.610195032647276	0.75767065768883
AT1G01240	1029.39783502297	-0.0874248218515387	0.139491437276274	-0.626739702153809	0.530829874510423	0.697528679623399
AT1G01250	21.3347261664144	-1.01814687143811	0.395652158082918	-2.57333834945172	0.0100722686373626	0.0364784536693493
AT1G01260	353.871174901954	0.21391115273142	0.123310135148306	1.73474104520402	0.0827866826873834	0.189301411365573
AT1G01280	0.132168330655945	-0.883551252658835	3.5338115409304	-0.250027836070231	0.802565822067347	NA
AT1G01290	325.193291968564	-0.359779551555926	0.112652979363941	-3.19369761534319	0.00140463163063974	0.00727893609895583
AT1G01300	1002.09484811758	0.070672325053215	0.231448841719525	0.305347499378966	0.760101502898302	0.862053742360827
AT1G01310	0.23791143653056	1.29197531771872	3.53241421320894	0.365748533364962	0.714552727156736	NA
AT1G01320	7703.37175209852	-0.0562941606023501	0.0947902315132548	-0.593881454910028	0.552591403547597	0.714820993674502
AT1G01340	252.374125772137	1.60592228967773	0.284294346533167	5.64880135416402	1.61570422610423e-08	3.4164945699909e-07
AT1G01350	373.534858548957	0.0153827634089148	0.122510912954438	0.12556239307951	0.900078333261121	0.946962972899918
