Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	24.6559064523445	0.225618470110094	0.662111633276711	0.340755937172611	0.733287324258269	0.904473194409812
AT1G01020	221.029865911964	0.464377102462462	0.280776900924152	1.65390066253316	0.098147698025926	0.400850358027632
AT1G01030	38.7837498485406	0.293217364365929	0.420026403902665	0.69809269522465	0.485119226058359	0.780133938102051
AT1G01040	623.801821252883	0.0948666461342194	0.142160318390449	0.667321564894534	0.504566754584092	0.791704015469282
AT1G01050	665.887596011738	-0.320015968082441	0.191156543769573	-1.67410417541447	0.0941101273216424	0.392796022436958
AT1G01060	988.584685095011	-0.328004984958756	0.127528099957598	-2.57202126486489	0.0101106681314607	0.137033879409279
AT1G01070	4.35242813382669	-3.10391977164925	1.58704216965882	-1.95578909684329	0.050490003811004	NA
AT1G01080	1180.21229970898	-0.161027695326538	0.131485461105819	-1.22468061466464	0.220695580846339	0.573150709131573
AT1G01090	2339.87768287779	-0.1487158543694	0.140474749082097	-1.05866609722497	0.289751873117986	0.635457589341167
AT1G01100	2888.00482882765	0.339393726802313	0.116449591281791	2.91451196235657	0.00356245155617561	0.0804738446583931
AT1G01110	19.8271219683159	-0.0576489583745117	0.50775232837545	-0.113537555916206	0.909604390249844	0.973771894569709
AT1G01120	1100.94328322959	-0.278918965387046	0.274875750656357	-1.01470924488986	0.310244445936503	0.650423767322463
AT1G01130	46.969170189144	-0.406695269166429	0.357337948780332	-1.1381250453655	0.25506827139317	0.604181783290259
AT1G01140	724.827446046967	-0.835201612790607	0.52551311473329	-1.58930688763969	0.111991124503705	0.424351170643076
AT1G01150	0.0694642920473475	1.57569867242126	4.0804728567969	0.386155900975201	0.699381211410275	NA
AT1G01160	358.739916294329	0.418766412134525	0.169317086252342	2.47326729631064	0.0133883964188145	0.156770756899814
AT1G01170	496.241676025644	0.0163976429013881	0.17018696709335	0.0963507557684704	0.923242001287472	0.978003868734586
AT1G01180	59.0834791136287	0.181249745813718	0.409840488682828	0.442244606910924	0.658312210294664	0.872172208165461
AT1G01183	0.753556580434126	1.21900522015178	2.7279568895381	0.446856482529745	0.654978686384049	NA
AT1G01190	20.8301145620707	-2.05659429702051	0.658691769847449	-3.12224076747887	0.00179480091419421	0.0564005562325657
AT1G01200	35.1341032025952	0.191938862827655	0.424547894541092	0.452101789446224	0.651195654620983	0.868182372063977
AT1G01210	162.794299033287	0.105990874689804	0.216351390098675	0.489901519197373	0.624203587968552	0.856678219255868
AT1G01220	460.106104871038	0.206258325083019	0.159152744149287	1.29597718333745	0.194983345833163	0.54625733717339
AT1G01225	42.5382905716069	0.166820362679926	0.370162875313715	0.450667459665005	0.652229238470184	0.868766122767728
AT1G01230	144.084776655079	-0.451272812229314	0.278443596320105	-1.62069739865923	0.105082551809664	0.411568921611143
AT1G01240	117.980465115955	-0.176700221836955	0.367597966706737	-0.480688790038719	0.630737699498526	0.859176873829007
AT1G01250	26.0246445822468	-0.181151940459377	0.478877639250056	-0.37828440004647	0.705219332889414	0.892317994956495
AT1G01260	207.755142834082	-0.267456751109545	0.232878977055067	-1.1484795857992	0.250770635669448	0.599957704419542
AT1G01290	211.442183833103	0.442434537607805	0.212708281796029	2.08000616559004	0.0375249673523113	0.257407847619115
AT1G01300	581.127512575004	0.0616729076785582	0.193494649546188	0.318731850328692	0.749929860254953	0.911267899399572
AT1G01305	0.552489857887017	3.67691342703666	4.05026796236956	0.907819793949022	0.363973438739046	NA
AT1G01310	0.0694642920473475	1.57569867242126	4.0804728567969	0.386155900975201	0.699381211410275	NA
AT1G01320	8840.44974954233	-0.00628175114372228	0.101598201873969	-0.0618293535501221	0.950698727448093	0.987497624391352
AT1G01340	51.1767546780805	-0.142525004950631	0.394162889123771	-0.361589101570332	0.717659110056377	0.896546532551311
AT1G01350	197.134584778752	0.092873695569869	0.187162673793539	0.496219110827189	0.619739829059341	0.854603919242052
AT1G01355	0.621954149934365	2.69446521357112	3.34345035635031	0.80589359086892	0.420304207060754	NA
AT1G01360	95.6455275079793	-0.0519108271573445	0.272070349978601	-0.190799281000033	0.848682852015757	0.951267434789244
AT1G01370	65.6872464468999	0.648875297289635	0.323746421393119	2.0042701769411	0.0450411267218896	0.279227518587247
AT1G01380	10.4823424120835	0.29924846503635	0.813697463368205	0.367763792451369	0.713049369227871	NA
AT1G01390	24.8155474713803	-1.39406665368188	0.58788893847804	-2.37130954919974	0.0177251790321177	0.179562412602521
AT1G01420	113.09845684518	0.312382105769573	0.231291897170988	1.35059684143901	0.176824613161481	0.522538236769763
AT1G01430	957.046715479419	0.256772602238954	0.21915214069496	1.17166367357715	0.241332113016378	0.59197241095625
AT1G01440	182.333332439606	-0.352671535818955	0.212270512586578	-1.66142499738447	0.0966281207983157	0.397195220398509
AT1G01448	184.68124095523	0.498656857645841	0.247337179831943	2.01610149345384	0.0437893639259387	0.275813839521831
AT1G01450	66.3441755035686	0.236597030288192	0.411006610159532	0.575652615894319	0.564850009227889	0.824641817652495
AT1G01470	247.641425347519	-0.409002859134899	0.342073927312051	-1.1956563376483	0.231830696622996	0.583516677447402
AT1G01480	0.336332229844337	-0.612350699336304	3.96079779522992	-0.154602868157969	0.877134408724168	NA
AT1G01490	493.040337808031	0.340444999009613	0.183244053709275	1.85787747060946	0.0631864164168356	0.324046390018801
AT1G01500	159.425578159883	0.177815908463839	0.217362176951098	0.818062787914771	0.413321335840556	0.732171648621139
AT1G01510	352.545059249697	-0.0205652436888564	0.198822916500452	-0.103434976464645	0.917617753804186	0.976061501241126
AT1G01520	215.491168912817	0.395267565527761	0.279082641674188	1.41631010498035	0.156684730546749	0.493843898998735
AT1G01540	990.116952407688	-0.0222176864270453	0.154187263382043	-0.144095471569495	0.885425080568787	0.964323076514473
AT1G01550	1287.28042048173	-0.234185137893586	0.185239401680567	-1.26422961728964	0.2061476233216	0.55805367771042
AT1G01560	13.1917283829104	-2.31075180157192	0.912824169744551	-2.53143143900163	0.0113598023347502	NA
AT1G01570	10.7619489901323	-0.784562023677796	0.752494596581321	-1.04261482705944	0.297126719380183	NA
AT1G01580	6.80777209865742	-0.118647746571858	0.966087050236281	-0.122812687058418	0.902255427498772	NA
AT1G01590	3.53110871618416	-0.0316892443747836	1.2759410502818	-0.0248359784080814	0.980185793282425	NA
AT1G01600	49.6377374404201	0.845967670465239	0.4825914459042	1.75296863971595	0.0796073902319753	0.362851081721025
AT1G01610	591.875280859645	0.0331694524037646	0.213422792163624	0.155416635999845	0.876492869884315	0.960994915236365
AT1G01620	2084.45496652593	-0.503265376849373	0.173752047381952	-2.89645724716594	0.00377402061932509	0.0829419155727343
AT1G01630	645.468405716452	-0.162604972462822	0.198215488219226	-0.820344433846567	0.412019782562626	0.731587759074901
AT1G01640	10.3741536556134	0.45439079335733	0.797753702576473	0.56958782126589	0.568957290587684	NA
AT1G01650	343.646442322987	0.0159383117675588	0.194999987900898	0.0817349372127086	0.934857495417194	0.98210114259253
AT1G01660	17.8294134424084	0.288436933953101	0.540048665018607	0.534094337485609	0.593276267229768	0.840190622414051
AT1G01670	36.3909231152896	0.739420925161243	0.388661563720943	1.90248018888779	0.0571084064194509	0.309141583793024
AT1G01680	1.72648612708101	-2.97000646970492	1.96542570950932	-1.51112629459111	0.130756276510199	NA
AT1G01690	43.6192237654458	0.366648843225534	0.349387778393147	1.04940374535071	0.293992335157783	0.638785011391002
AT1G01695	13.6524727865357	1.2915266003938	0.654444941342832	1.97346868896834	0.0484421884758859	NA
AT1G01700	31.2160133318846	0.464846010841517	0.615275964135641	0.755508158838202	0.449944138773915	0.758143954744305
AT1G01710	539.187806368349	0.3140346632848	0.153901553009205	2.04049054180771	0.0413014921220772	0.269709619707016
AT1G01720	271.973745546912	-0.0606876017514569	0.214583712115757	-0.282815508936294	0.777318265076649	0.922852150326183
AT1G01725	49.3885629499916	0.615028350616403	0.364216074579355	1.6886359321914	0.0912892203036061	0.38705574639675
AT1G01730	143.169628746564	0.0275684765543435	0.284784824825573	0.0968045842022265	0.922881583368893	0.977909511258989
AT1G01740	121.147506832865	0.3531270195492	0.276393315963011	1.27762503343771	0.201381669526092	0.552255056853304
